imagen,url,ram,precio,nombre,almacenamiento,sistemaOperativo
https://cdn.phonehouse.es/res/products-image/3/8/2/4/3/382438-2226276.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno-z-128gb-plus4gb-ram.html,4,269,Oppo Reno Z 128GB+4GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/6/878562-2833830.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/xiaomi/mi-10-128gb-8gb-ram.html?tipo=marketplace,8,799,Xiaomi Mi 10 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/3/878537-2833695.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a91.html,8,329,Oppo A91 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/3/878537-2833695.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a91.html?opinar=si,8,329,Oppo A91 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/6/878562-2833830.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/xiaomi/mi-10-128gb-8gb-ram.html,8,799,Xiaomi Mi 10 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/6/878562-2833830.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/xiaomi/mi-10-128gb-8gb-ram.html?opinar=si,8,799,Xiaomi Mi 10 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/2/434924-2714130.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno2-256gbplus8gb-ram.html?tipo=marketplace,8,449,Oppo Reno2 256GB+8GB RAM,256,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/2/434924-2714130.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno2-256gbplus8gb-ram.html,8,449,Oppo Reno2 256GB+8GB RAM,256,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/0/434907-2714102.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a9-128gbplus4gb-ram.html,4,209,Oppo A9 128GB+4GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/0/434907-2714102.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a9-128gbplus4gb-ram.html?tipo=marketplace,4,209,Oppo A9 128GB+4GB RAM,128,Android
https://cdn.phonehouse.es/res/product450/resource_1832125.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno-256gb-6gb-ram.html?tipo=marketplace,6,379,Oppo Reno 256GB+6GB RAM,256,Android
https://cdn.phonehouse.es/res/product450/resource_1832125.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno-256gb-6gb-ram.html,6,379,Oppo Reno 256GB+6GB RAM,256,Android
https://cdn.phonehouse.es/res/product450/resource_1496927.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/rx17-pro.html?opinar=si,6,429,Oppo RX17 Pro,128,Android
https://cdn.phonehouse.es/res/product450/resource_1496927.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/rx17-pro.html,6,429,Oppo RX17 Pro,128,Android
https://cdn.phonehouse.es/res/product450/resource_1496915.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/ax7.html,4,169,Oppo AX7,64,Android
https://cdn.phonehouse.es/res/products-image/4/3/6/8/6/436865-2714079.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a5-2020-64gb-3gb-ram.html?tipo=marketplace,3,159,Oppo A5 2020 64GB+3GB RAM,64,Android
https://cdn.phonehouse.es/res/product450/resource_1496959.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/rx17-neo.html,4,199,Oppo RX17 Neo,128,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/2/434925-2714157.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno2-z-128gbplus8gb-ram.html?tipo=marketplace,8,319,Oppo Reno2 Z 128GB+8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/2/434925-2714157.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno2-z-128gbplus8gb-ram.html,8,319,Oppo Reno2 Z 128GB+8GB RAM,128,Android
https://cdn.phonehouse.es/res/product450/resource_1496959.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/rx17-neo.html?opinar=si,4,199,Oppo RX17 Neo,128,Android
https://cdn.phonehouse.es/res/products-image/4/3/6/8/6/436865-2714079.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a5-2020-64gb-3gb-ram.html,3,159,Oppo A5 2020 64GB+3GB RAM,64,Android
https://cdn.phonehouse.es/res/products-image/3/8/2/4/3/382438-2226276.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno-z-128gb-plus4gb-ram.html,4,269,Oppo Reno Z 128GB+4GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/6/878562-2833830.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/xiaomi/mi-10-128gb-8gb-ram.html?opinar=si,8,799,Xiaomi Mi 10 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/6/878562-2833830.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/xiaomi/mi-10-128gb-8gb-ram.html?tipo=marketplace,8,799,Xiaomi Mi 10 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/6/878562-2833830.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/xiaomi/mi-10-128gb-8gb-ram.html,8,799,Xiaomi Mi 10 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/3/878537-2833695.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a91.html?opinar=si,8,329,Oppo A91 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/8/7/8/5/3/878537-2833695.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a91.html,8,329,Oppo A91 128GB + 8GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/2/434924-2714130.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno2-256gbplus8gb-ram.html?tipo=marketplace,8,449,Oppo Reno2 256GB+8GB RAM,256,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/0/434907-2714102.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a9-128gbplus4gb-ram.html?tipo=marketplace,4,209,Oppo A9 128GB+4GB RAM,128,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/2/434924-2714130.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno2-256gbplus8gb-ram.html,8,449,Oppo Reno2 256GB+8GB RAM,256,Android
https://cdn.phonehouse.es/res/products-image/4/3/4/9/0/434907-2714102.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/a9-128gbplus4gb-ram.html,4,209,Oppo A9 128GB+4GB RAM,128,Android
https://cdn.phonehouse.es/res/product450/resource_1496927.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/rx17-pro.html,6,429,Oppo RX17 Pro,128,Android
https://cdn.phonehouse.es/res/product450/resource_1496927.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/rx17-pro.html?opinar=si,6,429,Oppo RX17 Pro,128,Android
https://cdn.phonehouse.es/res/product450/resource_1832125.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno-256gb-6gb-ram.html?tipo=marketplace,6,379,Oppo Reno 256GB+6GB RAM,256,Android
https://cdn.phonehouse.es/res/product450/resource_1832125.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/reno-256gb-6gb-ram.html,6,379,Oppo Reno 256GB+6GB RAM,256,Android
https://cdn.phonehouse.es/res/product450/resource_1496915.jpg?&w=380&h=380&trim=auto&auto=format&q=40,https://www.phonehouse.es/movil/oppo/ax7.html,4,169,Oppo AX7,64,Android
